batter_id,player_age,season,is_playing,bbe,at_bats,plate_apps,games,bbe_prev,at_bats_prev,plate_apps_prev,is_first_year,train
-179232,30.23557113131092,1951,1,435,455,543,126,438,460,559,False,True
-179195,26.246413317270836,1951,1,274,311,341,117,292,331,364,False,True
-179186,24.417478917971746,1951,1,112,134,153,53,355,401,463,False,True
-179133,28.067133939327565,1951,0,0,0,0,0,63,76,80,False,True
-179037,27.41003175993867,1951,1,524,596,707,159,523,594,726,False,True
-179002,29.277297119702112,1951,1,193,218,273,74,173,190,212,False,False
-178961,27.596210710765522,1951,1,473,531,617,152,534,581,645,False,False
-178957,25.474318256488882,1951,1,247,271,316,89,466,528,623,False,False
-178955,27.420326360749097,1951,1,109,121,135,82,0,0,0,True,True
-178926,21.966378271821267,1951,1,136,152,161,40,0,0,0,True,True
-178925,22.221005366334463,1951,1,17,21,21,14,0,0,0,True,True
-178923,27.84536195378381,1951,0,0,0,0,0,110,125,153,False,True
-178881,25.923338079071296,1951,1,219,248,289,89,430,495,554,False,True
-178848,38.55065162632789,1951,1,133,140,150,56,250,277,309,False,False
-178832,26.487350783046764,1951,1,0,0,0,0,14,17,18,False,True
-178831,26.66192092870441,1951,1,73,95,107,34,0,0,0,True,True
-178756,36.23436644398204,1951,1,96,107,121,45,130,136,164,False,True
-178688,28.27455919395466,1951,1,26,27,29,7,0,0,0,True,True
-178646,35.12003066476837,1951,1,408,451,489,126,224,256,283,False,False
-178594,25.38396670682291,1951,1,380,465,541,141,20,28,33,False,True
-178536,32.592925199868574,1951,1,65,90,114,51,288,338,395,False,False
-178521,34.95575511992115,1951,1,213,222,259,97,356,390,442,False,True
-178510,26.377833753148614,1951,0,0,0,0,0,42,47,52,False,False
-178491,30.599715255722263,1951,1,353,387,426,112,604,648,715,False,True
-178428,34.73672106012485,1951,1,463,528,670,149,492,544,713,False,True
-178416,29.403241704084984,1951,1,398,439,445,124,458,498,523,False,True
-178397,29.81601138977111,1951,1,201,226,239,74,0,0,0,True,True
-178316,28.280692147628955,1951,0,0,0,0,0,127,141,175,False,False
-178278,24.69400941846457,1951,1,522,621,689,154,558,640,706,False,True
-178238,23.858284963311796,1951,1,39,47,55,12,0,0,0,True,True
-178154,24.97327784470485,1951,1,190,244,273,81,457,575,636,False,True
-178137,35.08991348154638,1951,1,394,419,495,126,540,574,652,False,True
-178105,30.843390647245645,1951,1,320,371,409,117,89,108,127,False,True
-178103,30.572335998247727,1951,1,399,439,490,128,488,540,612,False,True
-178082,25.487350783046764,1951,1,291,340,391,125,0,0,0,True,True
-178068,35.073485927061654,1951,1,7,9,12,4,18,21,27,False,True
-178064,26.626984996166904,1951,1,49,52,57,18,24,26,27,False,True
-178054,24.529733873617346,1951,1,70,91,102,32,338,382,421,False,True
-178037,26.459971525572225,1951,1,0,0,0,0,92,115,130,False,True
-177961,30.50596867812945,1951,1,84,91,102,35,0,0,0,True,True
-177868,26.657102179388893,1951,1,36,40,52,13,371,449,519,False,True
-177859,30.711970211367866,1951,1,230,298,367,104,354,406,482,False,True
-177753,28.32176103384076,1951,1,543,567,617,138,629,662,715,False,True
-177706,32.135691600043806,1951,0,0,0,0,0,97,104,110,False,True
-177692,37.80045997152557,1951,1,129,144,165,60,61,65,69,False,True
-177650,26.670791808126165,1951,0,0,0,0,0,59,69,79,False,True
-177641,23.56872193626109,1951,1,0,0,0,0,87,106,118,False,True
-177628,34.202825539371375,1951,1,459,538,589,145,488,557,622,False,True
-177622,23.69400941846457,1951,1,75,88,99,37,0,0,0,True,True
-177607,27.896725440806044,1951,1,3,4,5,13,0,0,0,True,True
-177566,26.741320775380572,1951,1,9,11,12,4,0,0,0,True,True
-177557,34.22746687109846,1951,0,0,0,0,0,3,3,4,False,True
-177533,29.844047749425034,1951,1,0,0,0,0,153,188,208,False,True
-177525,26.74679662687548,1951,1,11,16,16,7,0,0,0,True,True
-177517,31.254079509363706,1951,1,411,485,574,139,396,453,529,False,True
-177497,32.66137334355492,1951,0,0,0,0,0,184,221,254,False,False
-177483,23.33534114554813,1951,1,255,280,315,80,0,0,0,True,True
-177470,24.587230314313874,1951,0,0,0,0,0,10,11,11,False,True
-177397,27.2484941408389,1951,1,515,588,678,158,497,572,689,False,True
-177384,36.907896177855655,1951,1,160,174,196,59,83,87,94,False,False
-177349,32.10831234256927,1951,1,196,207,225,60,224,237,261,False,True
-177261,30.454605191107216,1951,1,523,578,665,155,538,571,668,False,True
-177260,32.32734640236556,1951,1,534,562,658,157,510,534,633,False,True
-177259,35.93593253750958,1951,1,140,160,195,64,256,292,369,False,True
-177218,33.67714379586025,1951,1,526,554,645,148,596,637,758,False,True
-177172,33.33216515168109,1951,0,0,0,0,0,72,86,95,False,False
-177149,30.388894973168327,1951,0,0,0,0,0,260,307,331,False,True
-177147,24.307304785894207,1951,1,11,11,14,5,0,0,0,True,True
-177144,31.590187274121124,1951,1,32,35,38,12,0,0,0,True,True
-177124,23.570802759829153,1951,1,25,28,31,10,0,0,0,True,False
-177120,27.29777680429307,1951,1,219,242,267,71,122,132,143,False,True
-177119,28.590077757091226,1951,1,357,383,430,125,360,427,486,False,True
-177078,26.68108640893659,1951,1,35,39,41,22,0,0,0,True,True
-177014,32.85302814587668,1951,1,573,632,729,158,484,548,653,False,True
-176956,30.026831672325045,1951,1,97,112,126,40,0,0,0,True,True
-176927,34.367101084218596,1951,1,138,162,174,75,133,150,156,False,True
-176818,31.555251341583617,1951,1,524,599,682,158,540,638,752,False,True
-176794,25.753586682729164,1951,1,215,233,240,74,220,235,259,False,True
-176761,21.889716350892563,1951,1,38,42,45,15,0,0,0,True,True
-176604,29.729054868031977,1951,1,143,160,178,72,197,215,236,False,True
-176593,31.03778337531486,1951,1,463,505,579,135,580,639,704,False,True
-176544,31.672982148724127,1951,1,477,492,588,134,474,506,624,False,True
-176470,33.21377724236119,1951,1,176,202,232,88,0,0,0,True,True
-176327,30.25747453729055,1951,1,429,467,532,136,497,530,614,False,True
-176299,35.152885773737815,1951,1,115,128,150,59,251,267,286,False,False
-176273,33.616909429416275,1951,0,0,0,0,0,155,196,230,False,False
-176245,35.916767057277404,1951,0,0,0,0,0,76,92,101,False,True
-176192,20.898587230314313,1951,1,7,10,11,5,0,0,0,True,True
-176183,31.801664658854452,1951,1,53,57,62,22,135,159,179,False,True
-176162,27.87274121125835,1951,1,7,8,11,5,21,28,35,False,True
-176126,22.35308290439163,1951,1,0,0,0,0,291,325,355,False,False
-176114,32.44507720950608,1951,0,0,0,0,0,36,41,45,False,True
-176066,31.092541890263934,1951,0,0,0,0,0,182,197,224,False,False
-176058,26.49830248603658,1951,1,486,522,578,132,480,559,635,False,True
-176048,32.20895849304567,1951,1,118,145,152,56,0,0,0,True,True
-176031,24.34015989486365,1951,1,39,44,48,12,0,0,0,True,True
-176018,36.46643303033622,1951,1,150,174,201,87,0,0,0,True,True
-176001,30.4792465228343,1951,1,163,172,222,68,102,108,125,False,False
-175960,26.528419669258568,1951,1,0,0,0,0,233,242,273,False,True
-175911,22.65907348592706,1951,1,8,8,10,3,0,0,0,True,True
-175866,30.520315409046106,1951,1,552,593,695,156,536,573,666,False,True
